32 primary inputs
32 primary outputs
256 AND gates
32 NOT gates
2128 NOR gates

Fanout...
AND-545: OUTPUT-545
NOR-1581: OUTPUT-1581
NOR-1901: OUTPUT-1901
NOR-2223: OUTPUT-2223
NOR-2548: OUTPUT-2548
NOR-2877: OUTPUT-2877
NOR-3211: OUTPUT-3211
NOR-3552: OUTPUT-3552
NOR-3895: OUTPUT-3895
NOR-4241: OUTPUT-4241
NOR-4591: OUTPUT-4591
NOR-4946: OUTPUT-4946
NOR-5308: OUTPUT-5308
NOR-5672: OUTPUT-5672
NOR-5971: OUTPUT-5971
NOR-6123: OUTPUT-6123
NOR-6150: OUTPUT-6150
NOR-6160: OUTPUT-6160
NOR-6170: OUTPUT-6170
NOR-6180: OUTPUT-6180
NOR-6190: OUTPUT-6190
NOR-6200: OUTPUT-6200
NOR-6210: OUTPUT-6210
NOR-6220: OUTPUT-6220
NOR-6230: OUTPUT-6230
NOR-6240: OUTPUT-6240
NOR-6250: OUTPUT-6250
NOR-6260: OUTPUT-6260
NOR-6270: OUTPUT-6270
NOR-6280: OUTPUT-6280
NOR-6287: OUTPUT-6287
NOR-6288: OUTPUT-6288
AND-546: NOR-1446, NOR-1507
NOR-3860: NOR-3914
NOR-3861: NOR-3914
NOR-3862: NOR-3917, NOR-3976
NOR-3865: NOR-3917, NOR-3975
NOR-3868: NOR-3921, NOR-3922, NOR-4079
NOR-3872: NOR-3923
NOR-3873: NOR-3923
NOR-3874: NOR-3926, NOR-3984
NOR-3877: NOR-3930, NOR-3931, NOR-3932
NOR-3881: NOR-3935
NOR-3882: NOR-3935
NOR-3883: NOR-3938, NOR-3997
NOR-3886: NOR-3938, NOR-3996
NOR-3889: NOR-3942, NOR-3943, NOR-4100
NOR-3893: NOR-3944
NOR-3894: NOR-3944
NOR-3896: NOR-3947, NOR-4005
NOR-3899: NOR-3951, NOR-4007
NOR-3902: NOR-3955, NOR-4009
NOR-3905: NOR-3959, NOR-4011
NOR-3908: NOR-3963, NOR-4013
NOR-3911: NOR-3967, NOR-4015
NOR-3914: NOR-3971, NOR-4017
NOR-3917: NOR-3975, NOR-3976, NOR-4140
NOR-3921: NOR-3977
NOR-3922: NOR-3977
NOR-3923: NOR-3980, NOR-4026
NOR-3926: NOR-3984, NOR-3985, NOR-3986
NOR-3930: NOR-3989
NOR-3931: NOR-3989
NOR-3932: NOR-3992, NOR-4039
NOR-3935: NOR-3992, NOR-4038
NOR-3938: NOR-3996, NOR-3997, NOR-4161
NOR-3942: NOR-3998
NOR-3943: NOR-3998
NOR-3944: NOR-4001, NOR-4047
NOR-3947: NOR-4005, NOR-4006, NOR-4175
NOR-3951: NOR-4007, NOR-4008, NOR-4180
NOR-3955: NOR-4009, NOR-4010, NOR-4185
NOR-3959: NOR-4011, NOR-4012, NOR-4190
NOR-3963: NOR-4013, NOR-4014, NOR-4195
NOR-3967: NOR-4015, NOR-4016, NOR-4200
NOR-3971: NOR-4017, NOR-4018, NOR-4205
NOR-3975: NOR-4019
NOR-3976: NOR-4019
NOR-3977: NOR-4022, NOR-4077
NOR-3980: NOR-4026, NOR-4027, NOR-4028
NOR-3984: NOR-4031
NOR-3985: NOR-4031
NOR-3986: NOR-4034, NOR-4090
NOR-3989: NOR-4034, NOR-4089
NOR-3992: NOR-4038, NOR-4039, NOR-4226
NOR-3996: NOR-4040
NOR-3997: NOR-4040
NOR-3998: NOR-4043, NOR-4098
NOR-4001: NOR-4047, NOR-4048, NOR-4049
NOR-4005: NOR-4052
NOR-4006: NOR-4052
NOR-4007: NOR-4055
NOR-4008: NOR-4055
NOR-4009: NOR-4058
NOR-4010: NOR-4058
NOR-4011: NOR-4061
NOR-4012: NOR-4061
NOR-4013: NOR-4064
NOR-4014: NOR-4064
NOR-4015: NOR-4067
NOR-4016: NOR-4067
NOR-4017: NOR-4070
NOR-4018: NOR-4070
NOR-4019: NOR-4073, NOR-4138
NOR-4022: NOR-4077, NOR-4078, NOR-4079
NOR-4026: NOR-4082
NOR-4027: NOR-4082
NOR-4028: NOR-4085, NOR-4151
NOR-4031: NOR-4085, NOR-4150
NOR-4034: NOR-4089, NOR-4090, NOR-4275
NOR-4038: NOR-4091
NOR-4039: NOR-4091
NOR-4040: NOR-4094, NOR-4159
NOR-4043: NOR-4098, NOR-4099, NOR-4100
NOR-4047: NOR-4103
NOR-4048: NOR-4103
NOR-4049: NOR-4106, NOR-4172
NOR-4052: NOR-4110, NOR-4173
NOR-4055: NOR-4114, NOR-4178
NOR-4058: NOR-4118, NOR-4183
NOR-4061: NOR-4122, NOR-4188
NOR-4064: NOR-4126, NOR-4193
NOR-4067: NOR-4130, NOR-4198
NOR-4070: NOR-4134, NOR-4203
NOR-4073: NOR-4138, NOR-4139, NOR-4140
NOR-4077: NOR-4143
NOR-4078: NOR-4143
NOR-4079: NOR-4146, NOR-4216
NOR-4082: NOR-4146, NOR-4215
NOR-4085: NOR-4150, NOR-4151, NOR-4329
NOR-4089: NOR-4152
NOR-4090: NOR-4152
NOR-4091: NOR-4155, NOR-4224
NOR-4094: NOR-4159, NOR-4160, NOR-4161
NOR-4098: NOR-4164
NOR-4099: NOR-4164
NOR-4100: NOR-4167, NOR-4237
NOR-4103: NOR-4167, NOR-4236
NOR-4106: NOR-4171, NOR-4172, NOR-4350
NOR-4110: NOR-4173, NOR-4174, NOR-4175
NOR-4114: NOR-4178, NOR-4179, NOR-4180
NOR-4118: NOR-4183, NOR-4184, NOR-4185
NOR-4122: NOR-4188, NOR-4189, NOR-4190
NOR-4126: NOR-4193, NOR-4194, NOR-4195
NOR-4130: NOR-4198, NOR-4199, NOR-4200
NOR-4134: NOR-4203, NOR-4204, NOR-4205
NOR-4138: NOR-4208
NOR-4139: NOR-4208
NOR-4140: NOR-4211, NOR-4265
NOR-4143: NOR-4211, NOR-4264
NOR-4146: NOR-4215, NOR-4216, NOR-4374
NOR-4150: NOR-4217
NOR-4151: NOR-4217
NOR-4152: NOR-4220, NOR-4273
NOR-4155: NOR-4224, NOR-4225, NOR-4226
NOR-4159: NOR-4229
NOR-4160: NOR-4229
NOR-4161: NOR-4232, NOR-4286
NOR-4164: NOR-4232, NOR-4285
NOR-4167: NOR-4236, NOR-4237, NOR-4395
NOR-4171: NOR-4238
NOR-4172: NOR-4238
NOR-4173: NOR-4241
NOR-4174: NOR-4241
NOR-4175: NOR-4294, NOR-4354
NOR-4178: NOR-4242
NOR-4179: NOR-4242
NOR-4180: NOR-4298, NOR-4356
NOR-4183: NOR-4245
NOR-4184: NOR-4245
NOR-4185: NOR-4302, NOR-4358
NOR-4188: NOR-4248
NOR-4189: NOR-4248
NOR-4190: NOR-4306, NOR-4360
NOR-4193: NOR-4251
NOR-4194: NOR-4251
NOR-4195: NOR-4310, NOR-4362
NOR-4198: NOR-4254
NOR-4199: NOR-4254
NOR-4200: NOR-4314, NOR-4364
NOR-4203: NOR-4257
NOR-4204: NOR-4257
NOR-4205: NOR-4260, NOR-4319
NOR-4208: NOR-4260, NOR-4318
NOR-4211: NOR-4264, NOR-4265, NOR-4429
NOR-4215: NOR-4266
NOR-4216: NOR-4266
NOR-4217: NOR-4269, NOR-4327
NOR-4220: NOR-4273, NOR-4274, NOR-4275
NOR-4224: NOR-4278
NOR-4225: NOR-4278
NOR-4226: NOR-4281, NOR-4340
NOR-4229: NOR-4281, NOR-4339
NOR-4232: NOR-4285, NOR-4286, NOR-4450
NOR-4236: NOR-4287
NOR-4237: NOR-4287
NOR-4238: NOR-4290, NOR-4348
NOR-4242: NOR-4294, NOR-4353
NOR-4245: NOR-4298, NOR-4355
NOR-4248: NOR-4302, NOR-4357
NOR-4251: NOR-4306, NOR-4359
NOR-4254: NOR-4310, NOR-4361
NOR-4257: NOR-4314, NOR-4363
NOR-4260: NOR-4318, NOR-4319, NOR-4488
NOR-4264: NOR-4320
NOR-4265: NOR-4320
NOR-4266: NOR-4323, NOR-4372
NOR-4269: NOR-4327, NOR-4328, NOR-4329
NOR-4273: NOR-4332
NOR-4274: NOR-4332
NOR-4275: NOR-4335, NOR-4385
NOR-4278: NOR-4335, NOR-4384
NOR-4281: NOR-4339, NOR-4340, NOR-4509
NOR-4285: NOR-4341
NOR-4286: NOR-4341
NOR-4287: NOR-4344, NOR-4393
NOR-4290: NOR-4348, NOR-4349, NOR-4350
NOR-4294: NOR-4353, NOR-4354, NOR-4526
NOR-4298: NOR-4355, NOR-4356, NOR-4531
NOR-4302: NOR-4357, NOR-4358, NOR-4536
NOR-4306: NOR-4359, NOR-4360, NOR-4541
NOR-4310: NOR-4361, NOR-4362, NOR-4546
NOR-4314: NOR-4363, NOR-4364, NOR-4551
NOR-4318: NOR-4365
NOR-4319: NOR-4365
NOR-4320: NOR-4368, NOR-4427
NOR-4323: NOR-4372, NOR-4373, NOR-4374
NOR-4327: NOR-4377
NOR-4328: NOR-4377
NOR-4329: NOR-4380, NOR-4440
NOR-4332: NOR-4380, NOR-4439
NOR-4335: NOR-4384, NOR-4385, NOR-4572
NOR-4339: NOR-4386
NOR-4340: NOR-4386
NOR-4341: NOR-4389, NOR-4448
NOR-4344: NOR-4393, NOR-4394, NOR-4395
NOR-4348: NOR-4398
NOR-4349: NOR-4398
NOR-4350: NOR-4401, NOR-4461
NOR-4353: NOR-4405
NOR-4354: NOR-4405
NOR-4355: NOR-4408
NOR-4356: NOR-4408
NOR-4357: NOR-4411
NOR-4358: NOR-4411
NOR-4359: NOR-4414
NOR-4360: NOR-4414
NOR-4361: NOR-4417
NOR-4362: NOR-4417
NOR-4363: NOR-4420
NOR-4364: NOR-4420
NOR-4365: NOR-4423, NOR-4486
NOR-4368: NOR-4427, NOR-4428, NOR-4429
NOR-4372: NOR-4432
NOR-4373: NOR-4432
NOR-4374: NOR-4435, NOR-4499
NOR-4377: NOR-4435, NOR-4498
NOR-4380: NOR-4439, NOR-4440, NOR-4622
NOR-4384: NOR-4441
NOR-4385: NOR-4441
NOR-4386: NOR-4444, NOR-4507
NOR-4389: NOR-4448, NOR-4449, NOR-4450
NOR-4393: NOR-4453
NOR-4394: NOR-4453
NOR-4395: NOR-4456, NOR-4520
NOR-4398: NOR-4456, NOR-4519
NOR-4401: NOR-4460, NOR-4461, NOR-4643
NOR-4405: NOR-4462, NOR-4524
NOR-4408: NOR-4466, NOR-4529
NOR-4411: NOR-4470, NOR-4534
NOR-4414: NOR-4474, NOR-4539
NOR-4417: NOR-4478, NOR-4544
NOR-4420: NOR-4482, NOR-4549
NOR-4423: NOR-4486, NOR-4487, NOR-4488
NOR-4427: NOR-4491
NOR-4428: NOR-4491
NOR-4429: NOR-4494, NOR-4562
NOR-4432: NOR-4494, NOR-4561
NOR-4435: NOR-4498, NOR-4499, NOR-4677
NOR-4439: NOR-4500
NOR-4440: NOR-4500
NOR-4441: NOR-4503, NOR-4570
NOR-4444: NOR-4507, NOR-4508, NOR-4509
NOR-4448: NOR-4512
NOR-4449: NOR-4512
NOR-4450: NOR-4515, NOR-4583
NOR-4453: NOR-4515, NOR-4582
NOR-4456: NOR-4519, NOR-4520, NOR-4698
NOR-4460: NOR-4521
NOR-4461: NOR-4521
NOR-4462: NOR-4524, NOR-4525, NOR-4526
NOR-4466: NOR-4529, NOR-4530, NOR-4531
NOR-4470: NOR-4534, NOR-4535, NOR-4536
NOR-4474: NOR-4539, NOR-4540, NOR-4541
NOR-4478: NOR-4544, NOR-4545, NOR-4546
NOR-4482: NOR-4549, NOR-4550, NOR-4551
NOR-4486: NOR-4554
NOR-4487: NOR-4554
NOR-4488: NOR-4557, NOR-4612
NOR-4491: NOR-4557, NOR-4611
NOR-4494: NOR-4561, NOR-4562, NOR-4727
NOR-4498: NOR-4563
NOR-4499: NOR-4563
NOR-4500: NOR-4566, NOR-4620
NOR-4503: NOR-4570, NOR-4571, NOR-4572
NOR-4507: NOR-4575
NOR-4508: NOR-4575
NOR-4509: NOR-4578, NOR-4633
NOR-4512: NOR-4578, NOR-4632
NOR-4515: NOR-4582, NOR-4583, NOR-4748
NOR-4519: NOR-4584
NOR-4520: NOR-4584
NOR-4521: NOR-4587, NOR-4641
NOR-4524: NOR-4591
NOR-4525: NOR-4591
NOR-4526: NOR-4646, NOR-4709
NOR-4529: NOR-4592
NOR-4530: NOR-4592
NOR-4531: NOR-4650, NOR-4711
NOR-4534: NOR-4595
NOR-4535: NOR-4595
NOR-4536: NOR-4654, NOR-4713
NOR-4539: NOR-4598
NOR-4540: NOR-4598
NOR-4541: NOR-4658, NOR-4715
NOR-4544: NOR-4601
NOR-4545: NOR-4601
NOR-4546: NOR-4662, NOR-4717
NOR-4549: NOR-4604
NOR-4550: NOR-4604
NOR-4551: NOR-4607, NOR-4667
NOR-4554: NOR-4607, NOR-4666
NOR-4557: NOR-4611, NOR-4612, NOR-4781
NOR-4561: NOR-4613
NOR-4562: NOR-4613
NOR-4563: NOR-4616, NOR-4675
NOR-4566: NOR-4620, NOR-4621, NOR-4622
NOR-4570: NOR-4625
NOR-4571: NOR-4625
NOR-4572: NOR-4628, NOR-4688
NOR-4575: NOR-4628, NOR-4687
NOR-4578: NOR-4632, NOR-4633, NOR-4802
NOR-4582: NOR-4634
NOR-4583: NOR-4634
NOR-4584: NOR-4637, NOR-4696
NOR-4587: NOR-4641, NOR-4642, NOR-4643
NOR-4592: NOR-4646, NOR-4708
NOR-4595: NOR-4650, NOR-4710
NOR-4598: NOR-4654, NOR-4712
NOR-4601: NOR-4658, NOR-4714
NOR-4604: NOR-4662, NOR-4716
NOR-4607: NOR-4666, NOR-4667, NOR-4839
NOR-4611: NOR-4668
NOR-4612: NOR-4668
NOR-4613: NOR-4671, NOR-4725
NOR-4616: NOR-4675, NOR-4676, NOR-4677
NOR-4620: NOR-4680
NOR-4621: NOR-4680
NOR-4622: NOR-4683, NOR-4738
NOR-4625: NOR-4683, NOR-4737
NOR-4628: NOR-4687, NOR-4688, NOR-4860
NOR-4632: NOR-4689
NOR-4633: NOR-4689
NOR-4634: NOR-4692, NOR-4746
NOR-4637: NOR-4696, NOR-4697, NOR-4698
NOR-4641: NOR-4701
NOR-4642: NOR-4701
NOR-4643: NOR-4704, NOR-4759
NOR-4646: NOR-4708, NOR-4709, NOR-4881
NOR-4650: NOR-4710, NOR-4711, NOR-4886
NOR-4654: NOR-4712, NOR-4713, NOR-4891
NOR-4658: NOR-4714, NOR-4715, NOR-4896
NOR-4662: NOR-4716, NOR-4717, NOR-4901
NOR-4666: NOR-4718
NOR-4667: NOR-4718
NOR-4668: NOR-4721, NOR-4779
NOR-4671: NOR-4725, NOR-4726, NOR-4727
NOR-4675: NOR-4730
NOR-4676: NOR-4730
NOR-4677: NOR-4733, NOR-4792
NOR-4680: NOR-4733, NOR-4791
NOR-4683: NOR-4737, NOR-4738, NOR-4922
NOR-4687: NOR-4739
NOR-4688: NOR-4739
NOR-4689: NOR-4742, NOR-4800
NOR-4692: NOR-4746, NOR-4747, NOR-4748
NOR-4696: NOR-4751
NOR-4697: NOR-4751
NOR-4698: NOR-4754, NOR-4813
NOR-4701: NOR-4754, NOR-4812
NOR-4704: NOR-4758, NOR-4759, NOR-4943
NOR-4708: NOR-4760
NOR-4709: NOR-4760
NOR-4710: NOR-4763
NOR-4711: NOR-4763
NOR-4712: NOR-4766
NOR-4713: NOR-4766
NOR-4714: NOR-4769
NOR-4715: NOR-4769
NOR-4716: NOR-4772
NOR-4717: NOR-4772
NOR-4718: NOR-4775, NOR-4837
NOR-4721: NOR-4779, NOR-4780, NOR-4781
NOR-4725: NOR-4784
NOR-4726: NOR-4784
NOR-4727: NOR-4787, NOR-4850
NOR-4730: NOR-4787, NOR-4849
NOR-4733: NOR-4791, NOR-4792, NOR-4974
NOR-4737: NOR-4793
NOR-4738: NOR-4793
NOR-4739: NOR-4796, NOR-4858
NOR-4742: NOR-4800, NOR-4801, NOR-4802
NOR-4746: NOR-4805
NOR-4747: NOR-4805
NOR-4748: NOR-4808, NOR-4871
NOR-4751: NOR-4808, NOR-4870
NOR-4754: NOR-4812, NOR-4813, NOR-4995
NOR-4758: NOR-4814
NOR-4759: NOR-4814
NOR-4760: NOR-4817, NOR-4879
NOR-4763: NOR-4821, NOR-4884
NOR-4766: NOR-4825, NOR-4889
NOR-4769: NOR-4829, NOR-4894
NOR-4772: NOR-4833, NOR-4899
NOR-4775: NOR-4837, NOR-4838, NOR-4839
NOR-4779: NOR-4842
NOR-4780: NOR-4842
NOR-4781: NOR-4845, NOR-4912
NOR-4784: NOR-4845, NOR-4911
NOR-4787: NOR-4849, NOR-4850, NOR-5032
NOR-4791: NOR-4851
NOR-4792: NOR-4851
NOR-4793: NOR-4854, NOR-4920
NOR-4796: NOR-4858, NOR-4859, NOR-4860
NOR-4800: NOR-4863
NOR-4801: NOR-4863
NOR-4802: NOR-4866, NOR-4933
NOR-4805: NOR-4866, NOR-4932
NOR-4808: NOR-4870, NOR-4871, NOR-5053
NOR-4812: NOR-4872
NOR-4813: NOR-4872
NOR-4814: NOR-4875, NOR-4941
NOR-4817: NOR-4879, NOR-4880, NOR-4881
NOR-4821: NOR-4884, NOR-4885, NOR-4886
NOR-4825: NOR-4889, NOR-4890, NOR-4891
NOR-4829: NOR-4894, NOR-4895, NOR-4896
NOR-4833: NOR-4899, NOR-4900, NOR-4901
NOR-4837: NOR-4904
NOR-4838: NOR-4904
NOR-4839: NOR-4907, NOR-4964
NOR-4842: NOR-4907, NOR-4963
NOR-4845: NOR-4911, NOR-4912, NOR-5082
NOR-4849: NOR-4913
NOR-4850: NOR-4913
NOR-4851: NOR-4916, NOR-4972
NOR-4854: NOR-4920, NOR-4921, NOR-4922
NOR-4858: NOR-4925
NOR-4859: NOR-4925
NOR-4860: NOR-4928, NOR-4985
NOR-4863: NOR-4928, NOR-4984
NOR-4866: NOR-4932, NOR-4933, NOR-5103
NOR-4870: NOR-4934
NOR-4871: NOR-4934
NOR-4872: NOR-4937, NOR-4993
NOR-4875: NOR-4941, NOR-4942, NOR-4943
NOR-4879: NOR-4946
NOR-4880: NOR-4946
NOR-4881: NOR-5005, NOR-5066
NOR-4884: NOR-4947
NOR-4885: NOR-4947
NOR-4886: NOR-5009, NOR-5068
NOR-4889: NOR-4950
NOR-4890: NOR-4950
NOR-4891: NOR-5013, NOR-5070
NOR-4894: NOR-4953
NOR-4895: NOR-4953
NOR-4896: NOR-5017, NOR-5072
NOR-4899: NOR-4956
NOR-4900: NOR-4956
NOR-4901: NOR-4959, NOR-5022
NOR-4904: NOR-4959, NOR-5021
NOR-4907: NOR-4963, NOR-4964, NOR-5136
NOR-4911: NOR-4965
NOR-4912: NOR-4965
NOR-4913: NOR-4968, NOR-5030
NOR-4916: NOR-4972, NOR-4973, NOR-4974
NOR-4920: NOR-4977
NOR-4921: NOR-4977
NOR-4922: NOR-4980, NOR-5043
NOR-4925: NOR-4980, NOR-5042
NOR-4928: NOR-4984, NOR-4985, NOR-5157
NOR-4932: NOR-4986
NOR-4933: NOR-4986
NOR-4934: NOR-4989, NOR-5051
NOR-4937: NOR-4993, NOR-4994, NOR-4995
NOR-4941: NOR-4998
NOR-4942: NOR-4998
NOR-4943: NOR-5001, NOR-5064
NOR-4947: NOR-5005, NOR-5065
NOR-4950: NOR-5009, NOR-5067
NOR-4953: NOR-5013, NOR-5069
NOR-4956: NOR-5017, NOR-5071
NOR-4959: NOR-5021, NOR-5022, NOR-5194
NOR-4963: NOR-5023
NOR-4964: NOR-5023
NOR-4965: NOR-5026, NOR-5080
NOR-4968: NOR-5030, NOR-5031, NOR-5032
NOR-4972: NOR-5035
NOR-4973: NOR-5035
NOR-4974: NOR-5038, NOR-5093
NOR-4977: NOR-5038, NOR-5092
NOR-4980: NOR-5042, NOR-5043, NOR-5215
NOR-4984: NOR-5044
NOR-4985: NOR-5044
NOR-4986: NOR-5047, NOR-5101
NOR-4989: NOR-5051, NOR-5052, NOR-5053
NOR-4993: NOR-5056
NOR-4994: NOR-5056
NOR-4995: NOR-5059, NOR-5114
NOR-4998: NOR-5059, NOR-5113
NOR-5001: NOR-5063, NOR-5064, NOR-5236
NOR-5005: NOR-5065, NOR-5066, NOR-5241
NOR-5009: NOR-5067, NOR-5068, NOR-5246
NOR-5013: NOR-5069, NOR-5070, NOR-5251
NOR-5017: NOR-5071, NOR-5072, NOR-5256
NOR-5021: NOR-5073
NOR-5022: NOR-5073
NOR-5023: NOR-5076, NOR-5134
NOR-5026: NOR-5080, NOR-5081, NOR-5082
NOR-5030: NOR-5085
NOR-5031: NOR-5085
NOR-5032: NOR-5088, NOR-5147
NOR-5035: NOR-5088, NOR-5146
NOR-5038: NOR-5092, NOR-5093, NOR-5277
NOR-5042: NOR-5094
NOR-5043: NOR-5094
NOR-5044: NOR-5097, NOR-5155
NOR-5047: NOR-5101, NOR-5102, NOR-5103
NOR-5051: NOR-5106
NOR-5052: NOR-5106
NOR-5053: NOR-5109, NOR-5168
NOR-5056: NOR-5109, NOR-5167
NOR-5059: NOR-5113, NOR-5114, NOR-5298
NOR-5063: NOR-5115
NOR-5064: NOR-5115
NOR-5065: NOR-5118
NOR-5066: NOR-5118
NOR-5067: NOR-5121
NOR-5068: NOR-5121
NOR-5069: NOR-5124
NOR-5070: NOR-5124
NOR-5071: NOR-5127
NOR-5072: NOR-5127
NOR-5073: NOR-5130, NOR-5192
NOR-5076: NOR-5134, NOR-5135, NOR-5136
NOR-5080: NOR-5139
NOR-5081: NOR-5139
NOR-5082: NOR-5142, NOR-5205
NOR-5085: NOR-5142, NOR-5204
NOR-5088: NOR-5146, NOR-5147, NOR-5333
NOR-5092: NOR-5148
NOR-5093: NOR-5148
NOR-5094: NOR-5151, NOR-5213
NOR-5097: NOR-5155, NOR-5156, NOR-5157
NOR-5101: NOR-5160
NOR-5102: NOR-5160
NOR-5103: NOR-5163, NOR-5226
NOR-5106: NOR-5163, NOR-5225
NOR-5109: NOR-5167, NOR-5168, NOR-5354
NOR-5113: NOR-5169
NOR-5114: NOR-5169
NOR-5115: NOR-5172, NOR-5234
NOR-5118: NOR-5176, NOR-5239
NOR-5121: NOR-5180, NOR-5244
NOR-5124: NOR-5184, NOR-5249
NOR-5127: NOR-5188, NOR-5254
NOR-5130: NOR-5192, NOR-5193, NOR-5194
NOR-5134: NOR-5197
NOR-5135: NOR-5197
NOR-5136: NOR-5200, NOR-5267
NOR-5139: NOR-5200, NOR-5266
NOR-5142: NOR-5204, NOR-5205, NOR-5389
NOR-5146: NOR-5206
NOR-5147: NOR-5206
NOR-5148: NOR-5209, NOR-5275
NOR-5151: NOR-5213, NOR-5214, NOR-5215
NOR-5155: NOR-5218
NOR-5156: NOR-5218
NOR-5157: NOR-5221, NOR-5288
NOR-5160: NOR-5221, NOR-5287
NOR-5163: NOR-5225, NOR-5226, NOR-5410
NOR-5167: NOR-5227
NOR-5168: NOR-5227
NOR-5169: NOR-5230, NOR-5296
NOR-5172: NOR-5234, NOR-5235, NOR-5236
NOR-5176: NOR-5239, NOR-5240, NOR-5241
NOR-5180: NOR-5244, NOR-5245, NOR-5246
NOR-5184: NOR-5249, NOR-5250, NOR-5251
NOR-5188: NOR-5254, NOR-5255, NOR-5256
NOR-5192: NOR-5259
NOR-5193: NOR-5259
NOR-5194: NOR-5262, NOR-5323
NOR-5197: NOR-5262, NOR-5322
NOR-5200: NOR-5266, NOR-5267, NOR-5440
NOR-5204: NOR-5268
NOR-5205: NOR-5268
NOR-5206: NOR-5271, NOR-5331
NOR-5209: NOR-5275, NOR-5276, NOR-5277
NOR-5213: NOR-5280
NOR-5214: NOR-5280
NOR-5215: NOR-5283, NOR-5344
NOR-5218: NOR-5283, NOR-5343
NOR-5221: NOR-5287, NOR-5288, NOR-5461
NOR-5225: NOR-5289
NOR-5226: NOR-5289
NOR-5227: NOR-5292, NOR-5352
NOR-5230: NOR-5296, NOR-5297, NOR-5298
NOR-5234: NOR-5301
NOR-5235: NOR-5301
NOR-5236: NOR-5304, NOR-5365
NOR-5239: NOR-5308
NOR-5240: NOR-5308
NOR-5241: NOR-5366, NOR-5426
NOR-5244: NOR-5309
NOR-5245: NOR-5309
NOR-5246: NOR-5370, NOR-5428
NOR-5249: NOR-5312
NOR-5250: NOR-5312
NOR-5251: NOR-5374, NOR-5430
NOR-5254: NOR-5315
NOR-5255: NOR-5315
NOR-5256: NOR-5318, NOR-5379
NOR-5259: NOR-5318, NOR-5378
NOR-5262: NOR-5322, NOR-5323, NOR-5495
NOR-5266: NOR-5324
NOR-5267: NOR-5324
NOR-5268: NOR-5327, NOR-5387
NOR-5271: NOR-5331, NOR-5332, NOR-5333
NOR-5275: NOR-5336
NOR-5276: NOR-5336
NOR-5277: NOR-5339, NOR-5400
NOR-5280: NOR-5339, NOR-5399
NOR-5283: NOR-5343, NOR-5344, NOR-5516
NOR-5287: NOR-5345
NOR-5288: NOR-5345
NOR-5289: NOR-5348, NOR-5408
NOR-5292: NOR-5352, NOR-5353, NOR-5354
NOR-5296: NOR-5357
NOR-5297: NOR-5357
NOR-5298: NOR-5360, NOR-5421
NOR-5301: NOR-5360, NOR-5420
NOR-5304: NOR-5364, NOR-5365, NOR-5537
NOR-5309: NOR-5366, NOR-5425
NOR-5312: NOR-5370, NOR-5427
NOR-5315: NOR-5374, NOR-5429
NOR-5318: NOR-5378, NOR-5379, NOR-5554
NOR-5322: NOR-5380
NOR-5323: NOR-5380
NOR-5324: NOR-5383, NOR-5438
NOR-5327: NOR-5387, NOR-5388, NOR-5389
NOR-5331: NOR-5392
NOR-5332: NOR-5392
NOR-5333: NOR-5395, NOR-5451
NOR-5336: NOR-5395, NOR-5450
NOR-5339: NOR-5399, NOR-5400, NOR-5575
NOR-5343: NOR-5401
NOR-5344: NOR-5401
NOR-5345: NOR-5404, NOR-5459
NOR-5348: NOR-5408, NOR-5409, NOR-5410
NOR-5352: NOR-5413
NOR-5353: NOR-5413
NOR-5354: NOR-5416, NOR-5472
NOR-5357: NOR-5416, NOR-5471
NOR-5360: NOR-5420, NOR-5421, NOR-5596
NOR-5364: NOR-5422
NOR-5365: NOR-5422
NOR-5366: NOR-5425, NOR-5426, NOR-5608
NOR-5370: NOR-5427, NOR-5428, NOR-5613
NOR-5374: NOR-5429, NOR-5430, NOR-5618
NOR-5378: NOR-5431
NOR-5379: NOR-5431
NOR-5380: NOR-5434, NOR-5493
NOR-5383: NOR-5438, NOR-5439, NOR-5440
NOR-5387: NOR-5443
NOR-5388: NOR-5443
NOR-5389: NOR-5446, NOR-5506
NOR-5392: NOR-5446, NOR-5505
NOR-5395: NOR-5450, NOR-5451, NOR-5639
NOR-5399: NOR-5452
NOR-5400: NOR-5452
NOR-5401: NOR-5455, NOR-5514
NOR-5404: NOR-5459, NOR-5460, NOR-5461
NOR-5408: NOR-5464
NOR-5409: NOR-5464
NOR-5410: NOR-5467, NOR-5527
NOR-5413: NOR-5467, NOR-5526
NOR-5416: NOR-5471, NOR-5472, NOR-5660
NOR-5420: NOR-5473
NOR-5421: NOR-5473
NOR-5422: NOR-5476, NOR-5535
NOR-5425: NOR-5480
NOR-5426: NOR-5480
NOR-5427: NOR-5483
NOR-5428: NOR-5483
NOR-5429: NOR-5486
NOR-5430: NOR-5486
NOR-5431: NOR-5489, NOR-5552
NOR-5434: NOR-5493, NOR-5494, NOR-5495
NOR-5438: NOR-5498
NOR-5439: NOR-5498
NOR-5440: NOR-5501, NOR-5565
NOR-5443: NOR-5501, NOR-5564
NOR-5446: NOR-5505, NOR-5506, NOR-5694
NOR-5450: NOR-5507
NOR-5451: NOR-5507
NOR-5452: NOR-5510, NOR-5573
NOR-5455: NOR-5514, NOR-5515, NOR-5516
NOR-5459: NOR-5519
NOR-5460: NOR-5519
NOR-5461: NOR-5522, NOR-5586
NOR-5464: NOR-5522, NOR-5585
